ID,Name,Difficulty,Difficulty (eg: boss),Spawns Per Location
290444489,Charred Benedino,High,TRUE,7
290500550,Molten Menace,High,FALSE,1
29507113,Rotting Corpse,Mid,FALSE,6
290500187,Enlightened Jester,High,TRUE,1
146410001,Titan Margul,High,FALSE,1
290444446,Rage Rabbit ,Mid,FALSE,10
290444457,King of the Garden,Mid,TRUE,1
290444458,Slave of the Garden,Mid,FALSE,10
290444463,Angry Beaver,Low,FALSE,1
290444465,Angry Earwig,Mid,FALSE,10
290444464,Possessed Idol,Mid,FALSE,1
290444469,Dark Entity,Mid,FALSE,0
290444470,Entity Slave,Mid,FALSE,10
2904444721,Tundra Terror - new,High,FALSE,10
,Soulless Soldier,Mid,FALSE,1
,Charred Soldier,Mid,FALSE,1
290444492,Spirit of the dead,Mid,FALSE,6
290444502,Follower of Humbaba,Mid,FALSE,1
290500551,Igneous Golem,High,FALSE,10
80000005,Drudge Balloon Raider,Mid,FALSE,1
80000006,Drudge Invader ,Mid,FALSE,10
2001004,Delacim,Low,TRUE,10
500116,Death Dillo,Low,FALSE,7
80000004,Big Boss Moss,Low,TRUE,4
500106,Dire Carenzi,Low,FALSE,4
3001003,My Buddy Doll,Low,TRUE,1
81000030,The Darkness,Low,TRUE,0
500105,Nasty Mages,Mid,FALSE,10
,Nasty Shreth,Mid,FALSE,1
,Bessie & cows,Low,FALSE,1
500043,Huge Scarecrow,Low,TRUE,1
500041,Mini-Undead,Low,FALSE,10
,Mini-Skeleton,Low,FALSE,1
290500221,Numb Miner,Low,FALSE,10
290500219,Frigid Drudge,Low,FALSE,10
290500224,Ancient Mattekar,Low,FALSE,1
290500204,Poisonous Corpse,Low,FALSE,10
290444491,Phantasmal Banderling,Low,FALSE,10
290500205,Acidic Bones,Low,FALSE,10
290444507,The Forgotten One,Mid,TRUE,5
290444508,Ancient Mushroom,Mid,FALSE,1
290500000,Possessed Garden Gnome,Low,FALSE,1
290500001,Possessed Pumpkin,Low,FALSE,6
290500002,The Summoner,High,TRUE,5
290500003,Tiny Terror,Low,FALSE,10
290500015,Rage Tusker,Mid,FALSE,5
290500024,Dissolved Limb,Mid,FALSE,1
290500025,Enraged Bones,Mid,FALSE,1
290500018,Mudmoss,Mid,FALSE,5
290500012,Silverback King,High,FALSE,1
290500011,Vulgar Snowchild,Mid,FALSE,10
290500105,Darktide Killer,Mid,FALSE,10
290500007,The Hungry One,Mid,TRUE,0
290500005,Hell Hornet,Mid,FALSE,7
290500004,Hell Hornet Hive,High,FALSE,0
290500041,Charles Lee Ray,Mid,FALSE,10
290500043,Monstrosity,Mid,FALSE,6
290500044,The Mist,Mid,FALSE,10
290500055,Evil pet Dookie,Low,FALSE,10
290500056,Sand Grievver,Low,FALSE,10
290500064,King Grievver,Mid,TRUE,1
290500487,Hungry Corpse,Mid,FALSE,10
290500555,Elite Diamond Lord,Mid,TRUE,6
290500089,Diresland Scarecrow,Mid,FALSE,7
290500088,The Great Pumpkin Kingmed - Hard Boss,High,TRUE,7
290500086,"Bara, the Isparian SlayerHard Boss",High,TRUE,1
290500047,The Kraken,Mid,TRUE,1
290500103,Twisted Marionette,Mid,FALSE,10
290500094,Toxic Moar,High,FALSE,1
290500106,Massive Muck Golem,Mid,FALSE,7
290500117,Flogwart Mosswart,High,FALSE,1
290500118,Gatekeeper of the Void,High,FALSE,7
290500116,Huge Sandworm,High,FALSE,0
290500119,Void Slave,Mid,FALSE,7
290500100,Abdul Alhazred,Mid,FALSE,10
290500110,BloodiedLeviatha,High,FALSE,1
290500115,Sand Sclavus,Low,FALSE,10
290500123,Mephisto,Mid,TRUE,1
290500131,Baels Soldier,High,FALSE,7
290500142,Irate Halloween Spirit,Low,FALSE,10
290500145,Cetus Moarsman,High,TRUE,1
290500146,Inner Sea Golem,Mid,FALSE,10
290500147,Halaetan Ancient Crystal,Mid,TRUE,7
290500148,Chunk of Halaetan Crystal,Mid,FALSE,10
290500153,ALGOS,Mid,TRUE,7
290500152,Enhanced Evis,Mid,FALSE,1
290500154,Pheonix Siraluun,Mid,FALSE,7
290500561,Lava Golem,Mid,FALSE,1
290444497,Ancient Oak,High,FALSE,6
500089,Heckle the Dissolver,Mid,FALSE,10
290444499,Graboid,Mid,FALSE,1
290500201,Oolutanga,High,TRUE,1
290500241,Massive Avalanche,Mid,FALSE,10
290500250,Painful Conflagration,Mid,FALSE,10
290500237,Rynthid Protector,High,FALSE,10
290500106,Massive Muck Golem,Mid,FALSE,7
290500146,Inner Sea Golem,Mid,FALSE,10
290500239,Ancient Platinum Golem,Mid,FALSE,10
290500274,Dark ursuin,Mid,FALSE,1
290500500,Grimrend,Mid,TRUE,1
290500179,Super Pook,Mid,FALSE,7
290500174,Shavok,High,TRUE,1
290500288,Manhattan,High,TRUE,1
290500045,The Incredible Bulk,Mid,TRUE,1
290500030,Dark Necromancer,High,TRUE,7
290500022,Leader of the Cattle,Mid,TRUE,1
290500015,Rage Tusker,Mid,FALSE,5
290500175,Dragon Margul,High,TRUE,1
290500279,Big Papa Straw Drudge,High,TRUE,1
290500278,Straw Drudge,Mid,FALSE,10
290500286,Angered Spirit,Mid,FALSE,10
36826001,Drudge Annihilator,Mid,FALSE,10
601669,Tumerok Rager,Mid,FALSE,10
440531111,Tumerok Heel Nipper,Low,FALSE,10
3512411,Tumerok Sharpshooter,Low,FALSE,10
987634,Attic Crawler,Mid,FALSE,10
46687111,Heartbreak Wisp,Low,FALSE,7
8814690,Empyrean Drone,Mid,FALSE,10
8814694,Drone Engineer,Mid,FALSE,10
361771111,Weaponized Weather,Mid,TRUE,1
3001006,"Lasyia, Duchess of Pain",Mid,TRUE,10
16071234,Irritated Aurorch,Low,FALSE,10
35888123,Possessed Olthoi Queen,Mid,TRUE,1
3001005,Green Insatiable Olthoi,Mid,FALSE,7
3001007,Forgotten Lugian Child,Low,FALSE,10
3001008,Moonscarred Patroller,Mid,FALSE,10
300101012,Sugar Guard,Low,FALSE,10
300101015,Protective Mosswart,Low,FALSE,10
300101020,Tusker Infant,Mid ,FALSE,10
300101021,Monouga Baby,Mid,FALSE,10
300101022,Mattekar Cub,Mid,FALSE,10
300101026,Murkfang,Mid,TRUE,1
300101028,Drudge Scout,Low,FALSE,10
300101038,Skeleton Foreman,Low,FALSE,1
300101039,Skeleton Brute,Low,FALSE,10
300101040,Skeleton Masochist,Mid,FALSE,10
300101041,Necromancer of Bone,High,FALSE,10
300101042,Marrowrend,High,TRUE,10
300101045,Tumerok Bruiser,Low,FALSE,10
300101048,Void Infused Larva,Med,FALSE,6
300101049,Olthoi Enforcer,Low,FALSE,10
300101050,Silenced Olthoi,Low,FALSE,10
300101052,Furious Calf,Mid,FALSE,8
300101053,Sickly Farm Shreth,Low,FALSE,10
300101054,Drunken Farmer,High,FALSE,10
300101055,Milk Maiden,High,TRUE,10
