tier,wave_number,slot,wcid
low,1,1,300101071
low,1,2,300101071
low,1,3,300101071
low,1,4,300101071
low,1,5,300101071
low,1,6,300101071
low,1,7,300101071
low,1,8,300101071
low,1,9,300101071
low,1,10,300101071
low,2,1,300101072
low,2,2,300101072
low,2,3,300101072
low,2,4,300101072
low,2,5,300101072
low,2,6,300101073
low,2,7,300101073
low,2,8,300101073
low,2,9,300101073
low,2,10,300101073
low,3,1,300101074
low,3,2,300101074
low,3,3,300101074
low,3,4,300101074
low,3,5,300101074
low,3,6,300101074
low,3,7,300101074
low,3,8,300101074
low,3,9,300101074
low,3,10,300101074
low,4,1,300101075
low,4,2,300101075
low,4,3,300101075
low,4,4,300101075
low,4,5,300101075
low,4,6,300101075
low,4,7,300101075
low,4,8,300101075
low,4,9,300101075
low,4,10,300101075
low,5,1,300101076
low,5,2,300101076
low,5,3,300101076
low,5,4,300101076
low,5,5,300101077
low,5,6,300101077
low,5,7,300101077
low,5,8,300101077
low,5,9,300101077
low,5,10,300101077
low,6,1,300101078
low,6,2,300101078
low,6,3,300101078
low,6,4,300101078
low,6,5,300101078
low,6,6,300101078
low,6,7,300101078
low,6,8,300101078
low,6,9,300101078
low,6,10,300101078
low,7,1,300101079
low,7,2,300101079
low,7,3,300101079
low,7,4,300101079
low,7,5,300101079
low,7,6,300101079
low,7,7,300101079
low,7,8,300101079
low,7,9,300101079
low,7,10,300101079
low,8,1,300101080
low,8,2,300101080
low,8,3,300101080
low,8,4,300101080
low,8,5,300101080
low,8,6,300101081
low,8,7,300101081
low,8,8,300101081
low,8,9,300101081
low,8,10,300101081
low,9,1,300101082
low,9,2,300101082
low,9,3,300101082
low,9,4,300101082
low,9,5,300101082
low,9,6,300101082
low,9,7,300101082
low,9,8,300101082
low,9,9,300101082
low,9,10,300101082
low,10,1,300101083
low,10,2,300101083
low,10,3,300101083
low,10,4,300101083
low,10,5,300101083
low,10,6,300101083
low,10,7,300101083
low,10,8,300101083
low,10,9,300101083
low,10,10,300101083
low,boss,1,300101090
low,boss,2,300101090
low,boss,3,300101090
low,boss,4,300101091
low,boss,5,300101091
low,boss,6,300101091
low,boss,7,300101092
low,boss,8,300101092
low,boss,9,300101092
low,boss,10,300101093
mid,1,1,400101071
mid,1,2,400101071
mid,1,3,400101071
mid,1,4,400101071
mid,1,5,400101072
mid,1,6,400101072
mid,1,7,400101072
mid,1,8,400101073
mid,1,9,400101073
mid,1,10,400101073
mid,2,1,400101074
mid,2,2,400101074
mid,2,3,400101074
mid,2,4,400101074
mid,2,5,400101074
mid,2,6,400101074
mid,2,7,400101074
mid,2,8,400101074
mid,2,9,400101074
mid,2,10,400101074
mid,3,1,400101075
mid,3,2,400101075
mid,3,3,400101075
mid,3,4,400101075
mid,3,5,400101075
mid,3,6,400101076
mid,3,7,400101076
mid,3,8,400101076
mid,3,9,400101076
mid,3,10,400101076
mid,4,1,400101077
mid,4,2,400101077
mid,4,3,400101077
mid,4,4,400101077
mid,4,5,400101077
mid,4,6,400101077
mid,4,7,400101077
mid,4,8,400101077
mid,4,9,400101077
mid,4,10,400101077
mid,5,1,400101078
mid,5,2,400101078
mid,5,3,400101078
mid,5,4,400101078
mid,5,5,400101078
mid,5,6,400101079
mid,5,7,400101079
mid,5,8,400101079
mid,5,9,400101079
mid,5,10,400101079
mid,6,1,400101080
mid,6,2,400101080
mid,6,3,400101080
mid,6,4,400101080
mid,6,5,400101080
mid,6,6,400101080
mid,6,7,400101080
mid,6,8,400101080
mid,6,9,400101080
mid,6,10,400101080
mid,7,1,400101081
mid,7,2,400101081
mid,7,3,400101081
mid,7,4,400101081
mid,7,5,400101081
mid,7,6,400101082
mid,7,7,400101082
mid,7,8,400101082
mid,7,9,400101082
mid,7,10,400101082
mid,8,1,400101083
mid,8,2,400101083
mid,8,3,400101083
mid,8,4,400101083
mid,8,5,400101083
mid,8,6,400101083
mid,8,7,400101083
mid,8,8,400101083
mid,8,9,400101083
mid,8,10,400101083
mid,9,1,400101084
mid,9,2,400101084
mid,9,3,400101084
