tier,wave_number,position_index,wcid,spawn_count
low,1,0,300101015,6
low,1,1,300101015,3
low,1,2,500116,5
low,1,3,500116,1
low,2,0,16071234,3
low,2,1,3512411,1
low,2,2,290444491,6
low,2,3,3001007,8
low,3,0,290500055,5
low,3,1,290500003,7
low,3,2,290500003,8
low,3,3,46687111,1
low,4,0,300101038,1
low,4,1,440531111,8
low,4,2,290500204,8
low,4,3,290500115,5
low,5,0,500116,6
low,5,1,290444463,1
low,5,2,290500221,8
low,5,3,16071234,5
low,6,0,290500224,1
low,6,1,290444491,10
low,6,2,300101049,4
low,6,3,300101050,4
low,7,0,46687111,1
low,7,1,3512411,1
low,7,2,500116,3
low,7,3,300101053,1
low,8,0,3001007,6
low,8,1,3001007,4
low,8,2,440531111,6
low,8,3,290500219,8
low,9,0,290444491,9
low,9,1,290500056,9
low,9,2,300101053,6
low,9,3,290500056,2
low,10,0,3512411,5
low,10,1,3001007,7
low,10,2,290500115,8
low,10,3,300101053,5
low,boss,0,500043,1
low,boss,1,290500142,9
low,boss,2,300101039,8
low,boss,3,300101053,10
mid,1,0,290444469,1
mid,1,1,987634,3
mid,1,2,290500119,6
mid,1,3,601669,10
mid,2,0,290444508,1
mid,2,1,290444446,4
mid,2,2,290500025,1
mid,2,3,601669,7
mid,3,0,290500487,3
mid,3,1,290500146,4
mid,3,2,290500089,3
mid,3,3,290500561,1
mid,4,0,290444492,5
mid,4,1,290500278,7
mid,4,2,290500089,1
mid,4,3,290500152,1
mid,5,0,290500179,4
mid,5,1,300101020,6
mid,5,2,290500103,7
mid,5,3,290500041,7
mid,6,0,290500274,1
mid,6,1,300101020,7
mid,6,2,300101020,3
mid,6,3,290500106,7
mid,7,0,290500041,10
mid,7,1,29507113,4
mid,7,2,80000005,1
mid,7,3,80000006,7
mid,8,0,290444470,10
mid,8,1,290500179,3
mid,8,2,290500250,10
mid,8,3,290500105,6
mid,9,0,290500106,1
mid,9,1,8814690,1
mid,9,2,290500154,7
mid,9,3,290444508,1
mid,10,0,290500241,6
mid,10,1,290444464,1
mid,10,2,300101020,3
mid,10,3,290500179,7
mid,boss,0,290500022,1
mid,boss,1,290500103,1
mid,boss,2,290500044,6
mid,boss,3,290500148,3
high,1,0,290444497,6
high,1,1,300101054,7
high,1,2,300101054,9
high,1,3,290500550,1
high,2,0,290500237,8
high,2,1,2904444721,10
high,2,2,290500131,1
high,2,3,290500004,1
high,3,0,290500551,8
high,3,1,290500012,1
high,3,2,146410001,1
high,3,3,290500012,1
high,4,0,290500110,1
high,4,1,290500131,1
high,4,2,300101041,7
high,4,3,290500550,1
high,5,0,290500237,6
high,5,1,290500094,1
high,5,2,290444497,5
high,5,3,290500116,1
high,6,0,290500012,1
high,6,1,290500550,1
high,6,2,290500094,1
high,6,3,290500551,7
high,7,0,290500118,6
high,7,1,290500118,2
high,7,2,300101041,2
high,7,3,2904444721,5
high,8,0,290500094,1
high,8,1,290500237,4
high,8,2,300101054,6
high,8,3,300101041,2
high,9,0,290500004,1
high,9,1,290500237,2
high,9,2,290500551,4
high,9,3,290500117,1
high,10,0,290500131,5
high,10,1,290500110,1
high,10,2,290500004,1
high,10,3,290500237,5
high,boss,0,290500174,1
high,boss,1,290500551,6
high,boss,2,300101041,8
high,boss,3,300101054,3
